110065,淮矿转债,114.9879,9.93,43843,0.0168,49.97,14.8328,1,0
128067,一心转债,119.9652,27.28,43602,0.0087,31.86,5.7666,1,0
110061,川投转债,115.5379,9.92,43801,0.0114,50.63,16.7571,1,0
128042,凯中转债,92.9605,13.25,43346,0.1981,16.83,10.8362,0,1
123015,蓝盾转债,95.5149,7.89,43356,0.8606,26.34,6.4489,0,1
110060,天路转债,106.4549,7.24,43797,0.0191,22.67,13.3245,1,0
113029,明阳转债,120.0748,12.66,43837,0.0473,3.72,17.3401,1,0
113546,迪贝转债,101.9589,18.45,43790,0.0148,23.05,14.4199,1,0
128093,百川转债,109.874,6,43851,0.0198,1.98,13.0797,1,0
113027,华钰转债,102.9778,10.17,43656,0.0722,1.84,-1.6127,1,0
113516,苏农转债,97.174,6.34,43332,0.5087,12.21,2.766,0,1
127014,北方转债,106.9603,8.84,43790,0.0238,43.17,19.2255,1,0
127012,招路转债,98.999,9.34,43585,0.07,6.37,11.7225,0,1
128071,合兴转债,104.4927,4.38,43724,0.086,1.45,12.9137,1,0
123028,清水转债,103.0556,11.95,43661,0.0858,26.53,-4.1026,1,0
110062,烽火转债,120.2868,25.99,43824,0.02,21,19.8428,1,0
128070,智能转债,98.0699,9.55,43669,0.0251,18.26,11.5408,0,1
128092,唐人转债,107.9737,8.86,43852,0.0415,19.19,19.9525,1,0
127005,长证转债,107.983,7.6,43201,0.124,12.89,12.9958,1,0
110043,无锡转债,99.8438,8.9,43173,0.1881,8.33,10.8858,0,1
127006,敖东转债,104.9671,21.12,43231,0.1238,26.66,10.4581,1,0
123032,万里转债,103.082,6.92,43769,0.0247,12.2,24.7324,1,0
123033,金力转债,112.9726,41.2,43794,0.04,36.55,11.5442,1,0
128036,金农转债,100.9726,9.72,43192,0.0497,17.15,4.9781,1,0
128056,今飞转债,108.9622,6.8,43546,0.0819,10,1.9342,1,0
113524,奇精转债,96.1626,14.76,43472,0.5741,36.36,1.6353,0,1
113544,桃李转债,113.9815,47.54,43753,0.0314,24.95,17.1788,1,0
113532,海环转债,105.0648,7.8,43579,0.0167,54.35,2.3126,1,0
110058,永鼎转债,94.9748,6.5,43593,0.0144,30,19.2207,0,1
113021,中信转债,107.6368,7.45,43543,0.0182,65.79,25.7188,1,0
113026,核能转债,102.9868,6.32,43593,0.0309,69.23,15.5031,1,0
110055,伊力转债,124.9712,17.6,43559,0.0181,3.34,5.8026,1,0
128064,司尔转债,97.4671,6.25,43592,0.0204,11.41,8.4097,0,1
128015,久其转债,117.1836,12.97,42913,2.3814,24.18,17.9183,1,0
113530,大丰转债,103.1448,16.88,43573,0.0213,13.88,15.1812,1,0
110051,中天转债,111.7848,10.29,43546,0.0195,17.65,16.0472,1,0
127011,中鼎转2,119.9616,11.99,43559,0.0083,46,12.5913,1,0
128033,迪龙转债,103.2721,13.35,43129,0.0387,62.86,12.878,1,0
113525,台华转债,99.8715,11.56,43476,0.4214,18.76,8.942,0,1
128035,大族转债,111.9847,52.7,43164,0.1958,15.18,9.2891,1,0
110059,浦发转债,103.4896,15.05,43784,0.3017,21.56,28.6992,1,0
123023,迪森转债,107.9793,7.39,43571,0.0216,5,-2.7384,1,0
113022,浙商转债,105.9907,12.53,43552,0.0173,25,24.7974,1,0
113528,长城转债,113.4726,24.18,43544,0.0376,27.16,4.83,1,0
113017,吉视转债,102.3836,2.98,43115,0.3995,16.11,-0.5856,1,0
113012,骆驼转债,111.4827,16.78,42838,0.1581,26.69,11.3955,1,0
123024,岱勒转债,108.4693,24.9,43572,0.0162,23.34,-1.3036,1,0
113009,广汽转债,117.9923,21.99,42404,0.2469,12.18,27.3412,1,0
123004,铁汉转债,106.9671,12.39,43126,0.0594,40.73,19.0657,1,0
113535,大业转债,110.0715,12.56,43619,0.0346,38.83,-1.5455,1,0
113527,维格转债,106.263,14.96,43515,0.3954,7.1,5.4953,1,0
128046,利尔转债,99.9997,18.82,43413,0.1526,27.36,11.0973,0,1
128072,翔鹭转债,110.0693,15.36,43724,0.0311,15.4,7.1183,1,0
113024,核建转债,102.9896,9.93,43581,0.0199,61.74,16.8903,1,0
128026,众兴转债,100.2259,11.74,43103,0.0563,29.72,5.533,1,0
128022,众信转债,99.997,11.05,43097,0.0034,31.77,4.8192,0,1
110045,海澜转债,98.9844,12.4,43312,1.0198,39.26,7.6589,0,1
128062,亚药转债,107.9811,16.3,43579,0.0288,5.7,-2.1908,1,0
128032,双环转债,103.4837,10.07,43125,0.0825,8.77,14.6557,1,0
128014,永东转债,100.4774,30.77,42867,1.3229,29.13,27.3676,1,0
128010,顺昌转债,129.9548,9.44,42423,0.6375,0.98,56.4515,1,0
128023,亚太转债,97.7811,10.44,43095,0.0245,19.8,15.4373,0,1
128037,岩土转债,96.4655,8.05,43215,0.0901,10,3.7067,0,1
128012,辉丰转债,118.353,29.7,42507,0.9877,18.21,27.5148,1,0
125572,海马转债,129.9384,18.33,39477,0.412,17.878,53.859,1,0
126729,燕京转债,129.9726,21.86,40485,0.0762,56.4717,48.7075,1,0
110009,双良转债,120.5649,21.11,40312,0.3867,33.6792,44.095,1,0
110007,博汇转债,127.8342,10.34,40102,0.1059,31.4581,43.9559,1,0
110004,厦工转债,125.4507,7.5,40067,0.1283,49.5318,43.75,1,0
110008,王府转债,135.9836,33.56,40116,0.1372,47.994,42.1979,1,0
110011,歌华转债,126.9737,15.09,40522,0.4762,37.4978,40.6849,1,0
110003,新钢转债,99.9342,8.22,39696,0.7865,1.0184,37,0,1
113010,江南转债,125.0744,19,42465,0.1101,6.11,33.7559,1,0
128233,塔牌转债,129.7518,13.31,40437,0.2215,3.5451,33.0007,1,0
128011,汽模转债,129.9685,11.63,42453,0.2163,7.31,32.7013,1,0
125887,中鼎转债,129.9584,25.31,40603,0.2236,28.4329,31.612,1,0
110006,龙盛转债,120.1171,8.9,40081,0.1726,9.3517,28.5089,1,0
110016,川投转债,116.0049,17.3,40633,0.5608,23.8095,27.753,1,0
110035,白云转债,120.2401,12.88,42444,0.0841,40,27.7285,1,0
123001,蓝标转债,99.9699,15.3,42377,0.0582,7.09,27.6063,0,1
128009,歌尔转债,119.8795,26.43,41999,0.1197,21.5,27.5457,1,0
110005,西洋转债,131.9479,14.55,40077,0.1605,9.1475,26.5716,1,0
110012,海运转债,123.4832,4.58,40563,0.2122,41.5765,25.8467,1,0
125969,安泰转债,129.926,22.3,40098,0.1762,42.5748,24.9459,1,0
110017,中海转债,103.0036,8.7,40767,0.3278,46.3644,23.9571,1,0
125731,美丰转债,106.4574,7.36,40354,1.1667,22.7066,23.2225,1,0
126630,铜陵转债,125.9722,15.68,40396,0.5755,1.2432,21.9927,1,0
110015,石化转债,107.9822,9.73,40609,0.5915,3.664,19.0934,1,0
113003,重工转债,105.9895,6.05,41078,0.4593,10.5179,18.7368,1,0
110013,国投转债,118.0799,7.29,40589,0.2393,40,18.2968,1,0
127010,平银转债,113.9841,11.77,43514,0.0449,49.56,18.1859,1,0
110040,生益转债,96.5052,17.34,43080,0.0057,15.85,17.7072,0,1
125089,深机转债,104.0556,5.66,40765,1.3405,61.3524,17.3795,1,0
128007,通鼎转债,129.9518,17.5,41887,0.2213,38.45,15.8765,1,0
128020,水晶转债,100.0786,29.87,43081,0.0044,19.81,15.575,1,0
128004,久立转债,100.0253,19.96,41712,2.7897,26.694,15.5235,1,0
110002,南山转债,107.9288,16.89,39581,2.0075,21.25,15.5224,1,0
113002,工行转债,109.9849,4.2,40431,0.8231,1.4362,15.1646,1,0
110028,冠城转债,111.9607,6.2,41852,0.6325,19.07,14.5011,1,0
125528,柳工转债,129.9479,26.87,39574,0.3948,26.2018,13.0571,1,0
110022,同仁转债,114.9795,17.72,41261,0.7785,55.2166,12.8214,1,0
113501,洛钼转债,116.6395,8.78,41989,0.3216,24.96,12.5256,1,0
110023,民生转债,105.4753,10.23,41362,0.3682,5.9342,12.4239,1,0
110039,宝信转债,97.1344,18.46,43074,0.0079,55.5,11.4501,0,1
110025,国金转债,105.9712,19.97,41793,1.1335,21.13,11.4198,1,0
113533,参林转债,105.9819,48.05,43579,0.0546,10,11.3707,1,0
128027,崇达转债,106.9679,30.93,43122,0.0187,60.63,11.1189,1,0
113001,中行转债,100.9767,3.88,40347,1.8915,3.1963,11.0858,1,0
128008,齐峰转债,117.9644,10.2,41922,0.2194,25.59,10.962,1,0
128006,长青转债,106.1471,13.48,41829,1.958,2.43,10.0344,1,0
127009,冰轮转债,112.0573,5.52,43517,0.1413,29.15,9.1797,1,0
129031,巨轮转2,115.1737,8.09,40759,0.4214,21.3473,8.7877,1,0
128001,泰尔转债,111.0771,15.34,41302,2.3282,6.25,8.6173,1,0
110018,国电转债,101.9795,2.67,40788,1.0888,30,8.4347,1,0
110020,南山转债,99.9466,6.92,41213,0.8062,1.0644,6.332,0,1
113512,景旺转债,117.9792,50.01,43305,0.2089,37.26,6.1259,1,0
127001,海直转债,114.9726,7.1,41281,0.8235,1.8118,5.8782,1,0
113507,天马转债,96.977,11.04,43227,0.0297,28.8,5.3574,0,1
110029,浙能转债,104.9781,5.66,41940,0.8615,2.24,5.3329,1,0
113018,常熟转债,105.9844,7.61,43137,0.1924,9,4.878,1,0
110019,恒丰转债,107.4597,6.88,41011,0.4168,31.1344,4.3467,1,0
123006,东财转债,124.9775,13.69,43129,0.4036,23.91,3.5689,1,0
128005,齐翔转债,106.443,14.34,41772,0.3809,63.68,3.3362,1,0
113015,隆基转债,123.4844,32.35,43059,0.0091,14.94,2.8006,1,0
110027,东方转债,107.7781,12,41845,1.2781,3.07,2.506,1,0
113529,绝味转债,125.5748,40.52,43557,0.006,28,1.3158,1,0
123008,康泰转债,120.0814,47.01,43178,0.0258,54.46,0.9008,1,0
113506,鼎信转债,108.8762,21.86,43234,0.072,5,0.723,1,0
123005,万信转债,114.9647,13.11,43130,0.0807,24.79,0.0622,1,0
128002,东华转债,123.9658,23.7,41505,0.0673,23.0428,-1.3697,1,0
